question_id,category,llama_response,gabarito_oficial,BERTScore_F1
42_direito_penal_questao_1,42_direito_penal,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A questão exige do(a) examinando(a) conhecimentos sobre teoria do delito, mais precisamente, erro de tipo permissivo e relação de causalidade.
A) Jonas não deve responder pelo homicídio doloso de Frederico, pois agiu em erro de tipo permissivo vencível ou inescusável, isto é, Jonas atirou em Frederico acreditando estar agindo em legítima defesa de terceiros (legítima defesa putativa ou descriminante putativa). Por isso, Jonas deve responder por homicídio culposo, na forma do Art. 20, § 1º, do Código Penal.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| A. Jonas agiu em erro de tipo permissivo ou em legítima defesa putativa ou descriminante putativa (0,40), o que impõe a desclassificação da imputação para o delito de homicídio culposo, (ou) por se tratar de erro inescusável ou vencível (0,15), na forma do Art. 20, § 1º, do CP (0,10). | 0,00/0,15/0,25/0,40/ 0,50/0,55/0,65 | A questão exige do(a) examinando(a) conhecimentos sobre teoria do delito, mais precisamente, erro de tipo permissivo e relação de causalidade.
B) Não há nexo de causalidade entre o atuar de Jonas e a morte da criança. A criança faleceu em decorrência de circunstância totalmente independente da conduta de Jonas, não podendo este, de acordo com a teoria da causalidade adequada, adotada pelo Art. 13 do Código Penal, ser responsabilizado pelo ataque do cachorro às crianças.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| B. De acordo com a teoria da causalidade adequada, não há nexo de causalidade entre o falecimento da criança e a conduta de Jonas, pois a mor. te da criança decorreu de circunstância independente (0,50), nos termos do Art. 13 do CP (0,10). | 0,00/0,50/0,60 |",0.5214581489562988
42_direito_penal_questao_2,42_direito_penal,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A questão exige do(a) examinando(a) conhecimentos sobre a Lei nº 11.340/2006 e sobre recursos em processo penal. A) Em relação ao Direito Penal aplicável, era essencial que o(a) examinando(a) identificasse que há, entre Rui e Vânia, uma relação íntima de afeto, ainda que já encerrada, o que atrai a incidência da lei de violência doméstica e familiar contra a mulher, de forma a ser inviável a aplicação isolada de pena pecuniária, nos termos do Art. 17 da Lei nº 11.340/2006.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| A. Inviabilidade de aplicação isolada de pena pecuniária no âmbito da Lei de Violência Doméstica e Familiar contra a Mulher (0,50), nos termos do Art. 17 da Lei nº 11.340/2006 (0,10). | 0,00/0,50/0,60 | A questão exige do(a) examinando(a) conhecimentos sobre a Lei nº 11.340/2006 e sobre recursos em processo penal. B) Apelação supletiva, no prazo de 15 (quinze) dias após o transcurso do prazo recursal do MP, nos termos do Art. 598 do CPP ou Súmula 448, do STF.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| B1. Apelação supletiva (0,20), nos termos do Art. 598 do CPP ou Súmula 448, do STF (0,10). | 0,00/0,20/0,30 |
| B2. No prazo de 15 dias (0,15) após o transcurso do prazo recursal do MP (0,20). | 0,00/0,15/0,20/0,35 |",0.5207949876785278
42_direito_penal_questao_3,42_direito_penal,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A questão exige do(a) examinando(a) conhecimentos sobre prescrição e recursos.
A) Item anulado.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| A. Item anulado. | 0,00/0,60 | A questão exige do(a) examinando(a) conhecimentos sobre prescrição e recursos.
B) O recurso de embargos infringentes é inadmissível, porquanto exclusivo em favor da defesa, nos termos do Art. 609, parágrafo único, do CPP.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| B. O recurso de embargos infringentes é inadmissível, porquanto exclusivo em favor da defesa (0,55), nos termos do Art. 609, parágrafo único, do CPP (0,10). | 0,00/0,55/0,65 |",0.5348782539367676
42_direito_penal_questao_4,42_direito_penal,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A questão exige do examinando conhecimentos sobre execução penal.
A) Não. A falta de estabelecimento penal adequado não autoriza a manutenção do condenado em regime prisional mais gravoso, nos termos da Súmula Vinculante 56.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| A. Não. A falta de estabelecimento penal adequado não autoriza a manutenção do condenado em regime prisional mais gravoso (0,55), nos termos da Súmula Vinculante 56 (0,10). | 0,00/0,55/0,65 | A questão exige do examinando conhecimentos sobre execução penal.
B) Não. É inadmissível a fixação de pena substitutiva como condição especial ao regime aberto, nos termos do enunciado 493 da Súmula da Jurisprudência do Superior Tribunal de Justiça.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| B. Não. É inadmissível a fixação de pena substitutiva como condição especial ao regime aberto (0,50), nos termos do enunciado 493 da Súmula da Jurisprudência do Superior Tribunal de Justiça (0,10). | 0,00/0,50/0,60 |",0.5175971388816833
42_direito_tributario_peca_profissional,42_direito_tributario,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A medida judicial cabível é a ação anulatória, dada a sua natureza desconstitutiva, tendo por objetivo desconstituir lançamento tributário que já está definitivamente constituído reputado ilegal ou irregular pelo contribuinte. Não cabe mandado de segurança, pois o enunciado deixa claro que haverá necessidade de dilação probatória no curso do processo. O objetivo da ação é desconstituir o lançamento referente ao ISS descrito no enunciado, conforme o Art. 38 da Lei nº 6.830/1980.
A ação deve ser endereçada à Vara Única da Comarca do Município X, ente federado que lavrou o auto de infração e também onde tem sede a empresa, sendo de competência da Justiça Estadual por se tratar de tributo municipal (ISS).
A autora é a ABC Ltda., enquanto o réu é o Município X, ente federado que está a cobrar indevidamente o tributo.
Os fatos devem ser descritos brevemente nos termos colocados pelo enunciado.
No mérito, o examinando deve ser capaz de identificar que:
1) O ISS é devido ao Município Y, local da efetiva prestação do serviço de remoção, tratamento e reciclagem de lixo, por expressa exceção prevista no Art. 3º, inciso VI, da LC 116/2003: Art. 3º. ""O serviço considera- se prestado, e o imposto, devido, no local do estabelecimento prestador ou, na falta do estabelecimento, no local do domicílio do prestador, exceto nas hipóteses previstas nos incisos I a XXV, quando o imposto será devido no local: VI - da execução da varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer, no caso dos serviços descritos no subitem 7.09 da lista anexa.""
2) A multa de 150%, que ultrapassa o próprio valor do imposto cobrado, ostenta natureza confiscatória, em violação ao Art. 150, inciso IV, da CRFB/88: Art. 150. ""Sem prejuízo de outras garantias asseguradas ao contribuinte, é vedado à União, aos Estados, ao Distrito Federal e aos Municípios: IV - utilizar tributo com efeito de confisco.""
3) A ameaça de interdição do estabelecimento constitui sanção política e meio coercitivo indireto ilegal de cobrança de tributos, por impedir o livre exercício da atividade econômica da empresa, conforme a Súmula 70 do STF: ""É inadmissível a interdição de estabelecimento como meio coercitivo para cobrança de tributo"" ou Súmula 547 do STF: Não é lícito à autoridade proibir que o contribuinte em débito adquira estampilhas, despache mercadorias nas alfândegas e exerça suas atividades profissionais.
Considerando-se que a sociedade empresária está em vias de ter seu estabelecimento interditado caso não pague a ilegal dívida e respectiva multa, o examinando deve requerer antecipação de tutela (tutela de urgência), demonstrando a existência dos requisitos de fumus boni iuris e periculum in mora, de modo a poder se abster de efetuar qualquer recolhimento a título deste imposto e multa sem que tenha seu estabelecimento interditado, suspendendo-se a exigibilidade do crédito tributário, conforme o Art. 151, inciso V, do CTN.
Nos pedidos, deve o examinado requerer aquilo que tipicamente é previsto no CPC para uma ação anulatória tributária, indicando também o pedido de produção de provas, sobretudo a pericial, além de respeitar as normas de fechamento da peça.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| Endereçamento |  |
| 1. Juízo: Vara Única da Comarca do Município X (0,10). | 0,00/0,10 |
| 2. Autora: ABC Ltda. (0,10); réu: Município X (0,10). | 0,00/0,10/0,20 |
| 3. Cabimento da ação anulatória: o crédito tributário já foi definitivamente constituído pelo lançamento, tendo inclusive sido o debito notificado ao contribuinte, sendo necessário desconstituir o lançamento por meio de uma ação anulatória (0,40), nos termos do Art. 38 da Lei nº 6.830/1980 (0,10). | 0,00/0,40/0,50 |
| 4. Breve descrição dos fatos (0,10). | 0,00/0,10 |
| Fundamentos |  |
| 5. O ISS é devido ao Município Y, local da efetiva prestação do serviço de remoção, tratamento e reciclagem de lixo (0,60), por expressa exceção prevista no Art. 3º, inciso VI, da LC 116/2003 (0,10). | 0,00/0,60/0,70 |
| 6. A multa de 150%, que ultrapassa o próprio valor do imposto cobrado, ostenta natureza confiscatória (0,60), em violação ao Art. 150, inciso IV, da CRFB/88 (0,10). | 0,00/0,60/0,70 |
| 7. A ameaça de interdição do estabelecimento constitui sanção política e meio coercitivo indireto ilegal de cobrança de tributos, por impedir o livre exercício da atividade econômica da empresa (0,60), nos termos da Súmula 70 ou da Súmula 547, ambas do STF (0,10). | 0,00/0,60/0,70 |
| Tutela provisória de urgência |  |
| 8. Probabilidade do direito (fumus boni iuris) (0,25). | 0,00/0,25 |
| 9. Perigo de dano ou risco ao resultado útil do processo (periculum in mora), em razão de que a empresa está em vias de ter seu estabelecimento interditado (0,25). | 0,00/0,25 |
| Pedidos |  |
| 10. Citação do réu (0,10). | 0,00/0,10 |
| 11. Seja concedida a tutela provisória de urgência, suspendendo-se a interdição do estabelecimento (0,10) e a exigibilidade do crédito tributário (0,10) com base no Art. 151, inciso V, do CTN (0,10). | 0,00/0,10/ 0,20/0,30 |
| 12. Seja julgada procedente a ação, para desconstituir o lançamento tributário referente ao imposto e sua respectiva multa (0,40). | 0,00/0,40 |
| 13. Opção pela não realização de audiência de conciliação ou de mediação (0,10), nos termos do Art. 319, inciso VII, do CPC (0,10) ou indicação do não cabimento de conciliação (0,10), nos termos do Art. 334, § 4º, inciso II, do CPC (0,10). | 0,00/0,10/0,20 |
| 14. Indicação das provas a serem produzidas (0,10), sobretudo a prova pericial (0,10). | 0,00/0,10/0,20 |
| 15. Condenação ao ressarcimento de custas e honorários advocatícios (0,10). | 0,00/0,10 |
| Fechamento |  |
| 16. Valor da causa (0,10). | 0,00/0,10 |
| 17. Data, local, advogado e OAB ... (0,10). | 0,00/0,10 |",0.5415278077125549
42_direito_tributario_questao_1,42_direito_tributario,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A) A ação anulatória da decisão administrativa que denegar a restituição do indébito tributário prescreve em dois anos, cf. o Art. 169, caput, do CTN.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| A. A ação anulatória da decisão administrativa que denegar a restituição do indébito tributário prescreve em dois anos (0,50), conforme o Art. 169, caput, do CTN (0,10). | 0,00/0,50/0,60 | B) Sim, tem razão. O combate a incêndios é feito pelo Corpo de Bombeiros, um órgão estadual, não tendo o município competência para instituir taxa sobre atividade realizada por outro ente federado fora do âmbito das atribuições municipais, conforme o Art. 145, inciso II, da CRFB/88 ou o Art. 77, caput, Art. 77, caput, ou Art. 80, ambos do CTN. No mesmo sentido: STF. RE 643.247 (repercussão geral), Rel. Min. Marco Aurélio, Pleno, julg. 24/05/2017 .
e/ou
Sim, tem razão. O combate a incêndios é serviço público que não está dotado de especificidade e divisibilidade, razão pela qual não pode ser remunerado mediante a espécie tributária ""taxa"", conforme o Art. 145, inciso II, da CRFB/88 ou Art. 77, caput, do CTN.
No mesmo sentido: STF. ADI 2.908, Rel. Min. Cármen Lúcia, Pleno, julg. 11/10/2019: ""A taxa anual de segurança contra incêndio tem como fato gerador a prestação de atividade essencial geral e indivisível pelo corpo de bombeiros, sendo de utilidade genérica, devendo ser custeada pela receita dos impostos."" No mesmo sentido: STF. ADI 4.411, Rel. Min. Marco Aurélio, Pleno, julg. 18/08/2020.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| B. Sim. O combate a incêndios é feito pelo Corpo de Bombeiros, um órgão estadual, não tendo o município competência para instituir taxa sobre atividade realizada por outro ente federado fora do âmbito das atribuições municipais (0,55), segundo o Art. 145, inciso II, da CRFB/88 ou Art. 77, caput, ou Art. 80, ambos do CTN (0,10). ou Sim. O combate a incêndio é serviço público que não está dotado de especificidade e divisibilidade, razão pela qual não pode ser remunerado mediante a espécie tributária &quot;taxa&quot; (0,55), segundo o Art. 145, inciso II, da CRFB/88 ou o Art. 77, caput, do CTN (0,10). | 0,00/0,55/0,65 |",0.5265578031539917
42_direito_tributario_questao_2,42_direito_tributario,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A) Não. O auditor fiscal não agiu corretamente, pois o lançamento reporta-se à data da ocorrência do fato gerador da obrigação e rege-se pela lei então vigente, ainda que posteriormente modificada ou revogada, segundo o Art. 144 ou Art. 105 ambos do CTN, ou o Art. 150, inciso III, alínea a, da CRFB/88.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| A. Não, pois o lançamento reporta-se à data da ocorrência do fato gerador da obrigação e rege-se pela lei então vigente, ainda que posteriormente modificada ou revogada (0,55), com base no Art. 144 ou Art. 105 ambos do CTN, ou no Art. 150, inciso III, alínea a, da CRFB/88 (0,10). | 0,00/0,55/0,65 | B) Sim, pois a nova lei ordinária municipal observou a alíquota máxima de ISS de 5%, prevista no Art. 8º, inciso II, da LC nº 116/2003.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| B. Sim, pois a nova lei ordinária municipal observou a alíquota máxima de ISS de 5% (0,50), prevista no Art. 8º, inciso II, da LC nº 116/2003 (0,10). | 0,00/0,50/0,60 |",0.5198278427124023
42_direito_tributario_questao_3,42_direito_tributario,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A) Sim. A adoção de alíquotas diferenciadas em função do uso do automóvel como carro de passeio e como táxi é válida, pois o IPVA é tributo autorizado a ter alíquotas diferenciadas em função do tipo e da utilização do automóvel, cf. Art. 155, § 6º, inciso II, da CRFB/88.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| A. Sim. O IPVA é tributo autorizado a ter alíquotas diferenciadas em função do tipo e da utilização do automóvel (0,50), cf. Art. 155, § 6º, inciso II, da CRFB/88 (0,10). | 0,00/0,50/0,60 | B) Não é válida. É vedado aos Estados estabelecer diferença tributária entre bens e serviços, de qualquer natureza, em razão de sua procedência ou destino, conforme o Art. 152 da CRFB/88. Assim, o simples fato de o veículo ser de procedência estrangeira não autoriza tal diferenciação na alíquota tributária de IPVA.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| B. Não. É vedado aos Estados estabelecer diferença tributária entre bens e serviços, de qualquer natureza, em razão de sua procedência ou destino (0,55), conforme o Art. 152 da CRFB/88 (0,10). | 0,00/0,55/0,65 |",0.5221838355064392
42_direito_tributario_questao_4,42_direito_tributario,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A) Sim. Para a concessão da isenção tributária sobre a taxa judiciária, deve-se seguir o princípio da legalidade específica previsto no Art. 150, § 6º, da CRFB/88, in verbis: § 6º Qualquer subsídio ou isenção, redução de base de cálculo, concessão de crédito presumido, anistia ou remissão, relativos a impostos, taxas ou contribuições, só poderá ser concedido mediante lei específica, federal, estadual ou municipal, que regule exclusivamente as matérias acima enumeradas ou o correspondente tributo ou contribuição, sem prejuízo do disposto no Art. 155, § 2º, inciso XII, alínea g.
Portanto, seria necessária uma lei específica que regulasse exclusivamente a isenção ou o correspondente tributo (taxa judiciária). O uso de uma lei que altera a divisão das comarcas e que também trata da isenção de um tributo viola o Art. 150, § 6º, da CRFB/88.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| A. Sim. É necessária uma lei específica para regular exclusivamente tal isenção ou o correspondente tributo (taxa judiciária). O uso de uma lei que trata ao mesmo tempo de organização judicial e de isenção tributária (0,50) viola o Art. 150, §6º, da CRFB/88 (0,10). | 0,00/0,50/0,60 | B) Não. Não existe reserva de iniciativa para leis em matéria tributária ao chefe do Executivo. O Presidente da República, conforme o Art. 61, §1º, inciso II, alínea b, da CRFB/88, detém reserva de iniciativa para leis em matéria tributária apenas em relação aos Territórios Federais.

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
| --- | --- |
| B. Não. Não existe reserva de iniciativa para leis em matéria tributária ao chefe do Executivo (0,35). O Presidente da República, conforme o Art. 61, §1º, inciso II, alínea b, da CRFB/88, detém reserva de iniciativa para leis em matéria tributária apenas em relação aos Territórios Federais (0,30). | 0,00/0,30/0,35 0,65 |",0.5220509767532349
42_direito_empresarial_peca_profissional,42_direito_empresarial,"Erro na API (410): {""error"":""https://api-inference.huggingface.co is no longer supported. Please use https://router.huggingface.co instead.""}","A peça processual adequada é a petição inicial ou requerimento de recuperação judicial, que tem seu fundamento no Art. 48, caput, da Lei nº 11.101/2005.
Na elaboração da peça, o examinando deverá observar, no que couber, o conteúdo do Art. 319 do CPC (requisitos da petição inicial) por força do Art. 189 da Lei nº 11.101/2005. Ademais, os requisitos formais do Art. 48 da Lei nº 11.101/2005 devem ser apontados no decorrer da peça, com referência expressa à exposição de motivos, prevista no Art. 51, inciso I, da Lei nº 11.101/2005, e os outros documentos exigidos nos incisos II a XI desse artigo, que devem ser todos nominados de per si.
A correta instrução da petição inicial da ação de recuperação judicial é condição para o deferimento do seu processamento, nos termos do Art. 52, caput, da Lei nº 11.101/2005. A simples menção genérica a ""documentos em anexo"" ou aos incisos do Art. 51 da Lei nº 11.101/2005 não confere pontuação.
A estrutura a ser observada na peça é a seguinte:
I- Endereçamento: Ao Juízo da Comarca de Vara Única de Caxambu, MG, com base nas informações do enunciado e no Art. 3º da Lei nº 11.101/2005.
II- Qualificação da requerente: Comercial e Exportadora Três Pontas S.A., representada pelo seu Diretor-Presidente Sr. Caldas Botelho etc.
III- Fundamentos jurídicos:
A petição deverá adotar como fundamentos jurídicos os requisitos subjetivos e objetivos do Art. 48, caput, da Lei nº
11.101/2005, além de indicar que já houve a aprovação do pedido pela Assembleia Geral da companhia.
a) a devedora é uma sociedade empresária que exerce suas atividades regularmente há mais de dois anos (ou desde 1970), podendo requerer recuperação judicial de acordo com o Art. 48, caput, da Lei nº 11.101/2005;
b) a sociedade não está falida;
c) a sociedade não obteve concessão de recuperação judicial há menos de cinco anos (ou nunca requereu tal medida); d) nem o acionista controlador nem qualquer dos administradores foram condenados pelos crimes previstos na Lei nº 11.101/2005;
e) houve aprovação prévia do pedido de recuperação judicial pela Assembleia Geral de acionistas, em cumprimento ao Art. 122, inciso IX, da Lei nº 6.404/1976.
IV- Exposição das causas concretas da situação patrimonial da sociedade e das razões da crise econômico-financeira, por exigência do Art. 51, inciso I, da Lei nº 11.101/2005.
V- Menção aos demais documentos a serem anexados à petição inicial, exigidos no Art. 51 da Lei nº 11.101/2005 e à ata da Assembleia Geral que aprovou a medida, de forma expressa e individualizada, a saber:
a) demonstrações contábeis relativas aos três últimos exercícios sociais e as levantadas para instruir o pedido;
b) relação nominal completa de todos os credores;
c) relação integral dos empregados;
d) Certidão da Junta Comercial comprovando a regularidade e o tempo de exercício da empresa;
e) estatuto social atualizado;
f) atas de nomeação dos atuais administradores;
g) relação dos bens particulares do sócio controlador e dos administradores;
h) extratos atualizados das contas bancárias da sociedade e de suas aplicações financeiras;
i) Certidão do Cartório de Protestos da Comarca de Caxambu, MG;
j) relação das ações judiciais em que a sociedade é parte;
k) relatório detalhado do passivo fiscal;
l) relação de bens e direitos integrantes do ativo não circulante;
m) ata da Assembleia Geral que aprovou o pedido de recuperação judicial.
VI- Pedidos:
a) deferimento do processamento da recuperação judicial, com base no caput do Art. 52 da Lei nº 11.101/2005 (o simples pedido de procedência não pontua);
b) nomeação do administrador judicial;
c) dispensa da apresentação de certidões negativas para que o devedor exerça suas atividades, nos termos do Art. 52, inciso II, da Lei nº 11.101/2005;
d) suspensão das execuções em face da devedora, nos termos do Art. 52, inciso III, da Lei nº 11.101/2005;
e) publicação do edital do processamento e da relação de credores, nos termos do Art. 52, § 1º, da Lei nº 11.101/2005; f) concessão da recuperação judicial.
VII- Valor da causa (Art. 51, § 5º, da Lei nº 11.101/2005): R$ 17.000.000,00 (dezessete milhões de reais).
VIII- Fechamento da peça: Local ou Município ... , Data ... , Advogado ... , OAB ...

DISTRIBUIÇÃO DE PONTOS

| ITEM | PONTUAÇÃO |
|---|---|
| I. Endereçamento |  |
| Ao Juízo de Vara Única da Comarca de Caxambu/MG (0,10) | 0,00/0,10 |
| II. Qualificação da Requerente: |  |
| Comercial e Exportadora Três Pontas S.A., representada por seu Diretor-Presidente Caldas Botelho etc. (0,10). | 0,00/0,10 |
| III. Fundamentos Jurídicos |  |
| a) a devedora é uma sociedade empresária que exerce suas atividades regulamente há mais de dois anos (ou desde 1970), podendo requerer recuperação judicial (0,30), de acordo com o Art. 48, caput, da Lei nº 11.101/2005 (0,10); | 0,00/0,30/0,40 |
| b) a sociedade não está falida (0,30); | 0,00/0,30 |
| c) a sociedade não obteve, há menos de 5 anos, concessão de recuperação judicial (0,30); | 0,00/0,30 |
| d) nenhum administrador ou acionista controlador foi condenado por qualquer dos crimes previstos na Lei nº 11.101/2005 (0,30); | 0,00/0,30 |
| e) houve aprovação prévia do pedido de recuperação judicial pela assembleia-geral de acionistas (0,30), em cumprimento ao Art. 122, inciso IX, da Lei nº 6.404/1976 (0,10). | 0,00/0,30/0,40 |
| IV. Exposição das causas concretas da situação patrimonial da sociedade e das razões da crise econômico-financeira (0,10), com fundamento no Art. 51, inciso I, da Lei nº 11.101/2005 (0,10). | 0,00/0,10/0,20 |
| V. Menção expressa e individualizada aos documentos a serem anexados à petição inicial |  |
| a) demonstrações contábeis relativas aos três últimos exercícios sociais e as levantadas para instruir o pedido (0,10); | 0,00/0,10 |
| b) relação nominal completa de todos os credores (0,10); | 0,00/0,10 |
| c) relação integral dos empregados (0,10); | 0,00/0,10 |
| d) Certidão da Junta Comercial comprovando a regularidade e o tempo de exercício da sociedade empresária (0,10); | 0,00/0,10 |
| e) estatuto social atualizado (0,10); | 0,00/0,10 |
| f) atas de nomeação dos atuais administradores (0,10); | 0,00/0,10 |
| g) relação dos bens particulares do sócio controlador e dos administradores (0,10); | 0,00/0,10 |
| h) extratos atualizados das contas bancárias da sociedade e de suas aplicações financeiras (0,10); | 0,00/0,10 |
| i) Certidão do Cartório de Protestos da Comarca de Caxambu, MG (0,10); | 0,00/0,10 |
| j) relação das ações judiciais em que a sociedade é parte (0,10); | 0,00/0,10 |
| k) relatório detalhado do passivo fiscal (0,10); | 0,00/0,10 |
| l) relação de bens e direitos integrantes do ativo não circulante (0,10); | 0,00/0,10 |
| m) ata da Assembleia Geral que aprovou o pedido de recuperação judicial (0,10). | 0,00/0,10 |
| VI. Dos Pedidos |  |
| a) deferimento do processamento da recuperação judicial (0,20), com base no Art. 52, caput, da Lei nº 11.101/2005 (0,10); | 0,00/0,20/0,30 |
| b) nomeação do administrador judicial (0,20); | 0,00/0,20 |
| c) dispensa da apresentação de Certidões Negativas para que o devedor exerça suas atividades (0,20); | 0,00/0,20 |
| d) suspensão das ações e execuções em face do devedor (0,20); | 0,00/0,20 |
| e) publicação do edital do processamento e da relação de credores (0,20); | 0,00/0,20 |
| f) concessão da recuperação judicial (0,20). | 0,00/0,20 |
| VII. Valor da causa |  |
| R$ 17.000.000,00 (dezessete milhões de reais) (0,10), segundo o Art. 51, § 5º, da Lei nº 11.101/2005 (0,10). | 0,00/0,20 |
| VIII. Fechamento |  |
| Local ou Município ... , Data ... , Advogado ... , OAB ... (0,10). | 0,00/0,10 |
|  |  |",0.5359199047088623
