id,deepseek_answer,answerKey,is_correct
2014-13_12,B,D,False
2014-13_13,B,D,False
2014-13_14,B,B,True
2014-13_15,B,A,False
2014-13_16,B,D,False
2014-13_17,B,C,False
2014-13_18,B,B,True
2014-13_19,B,D,False
2014-13_20,B,D,False
2014-13_21,B,C,False
2014-13_22,B,C,False
2014-13_23,B,A,False
2014-13_24,B,C,False
2014-13_25,B,A,False
2014-13_26,B,C,False
2014-13_27,B,D,False
2014-13_28,B,A,False
2014-13_29,B,C,False
2014-13_30,B,A,False
2014-13_31,B,C,False
2014-13_32,B,A,False
2014-13_33,B,C,False
2014-13_34,B,B,True
2014-13_35,B,D,False
2014-13_36,B,C,False
2014-13_37,B,A,False
2014-13_38,B,A,False
2014-13_39,B,D,False
2014-13_40,B,A,False
2014-13_41,B,D,False
2014-13_42,B,A,False
2014-13_43,B,D,False
2014-13_44,B,C,False
2014-13_45,B,D,False
2014-13_46,B,A,False
2014-13_47,B,D,False
2014-13_48,B,B,True
2014-13_49,B,D,False
2014-13_50,B,D,False
2014-13_51,B,B,True
2014-13_52,B,A,False
2014-13_53,B,D,False
2014-13_54,B,A,False
2014-13_55,B,D,False
2014-13_56,B,D,False
2014-13_57,B,C,False
2014-13_58,B,A,False
2014-13_59,B,C,False
2014-13_60,B,C,False
2014-13_61,B,D,False
2014-13_62,B,D,False
2014-13_63,B,B,True
2014-13_64,B,D,False
2014-13_65,B,A,False
2014-13_66,B,B,True
2014-13_67,B,B,True
2014-13_68,B,D,False
2014-13_69,B,B,True
2014-13_70,B,D,False
2014-13_71,B,B,True
2014-13_72,B,A,False
2014-13_73,B,C,False
2014-13_74,B,D,False
2014-13_75,B,A,False
2014-13_76,B,B,True
2014-13_77,B,B,True
2014-13_78,B,C,False
2014-13_79,B,A,False
2014-13_80,B,B,True
2014-14_1,B,B,True
2014-14_2,B,B,True
2014-14_3,B,A,False
2014-14_4,B,D,False
2014-14_5,B,A,False
2014-14_6,B,B,True
2014-14_7,B,D,False
2014-14_8,B,D,False
2014-14_9,B,D,False
2014-14_10,B,C,False
2014-14_11,B,B,True
2014-14_12,B,A,False
2014-14_13,B,B,True
2014-14_14,B,A,False
2014-14_15,B,B,True
2014-14_16,B,B,True
2014-14_17,B,D,False
2014-14_18,B,C,False
2014-14_19,B,A,False
2014-14_20,B,B,True
2014-14_21,B,D,False
2014-14_22,B,C,False
2014-14_23,B,A,False
2014-14_24,B,B,True
2014-14_25,B,C,False
2014-14_26,B,C,False
2014-14_27,B,A,False
2014-14_28,B,B,True
2014-14_29,B,D,False
2014-14_30,B,B,True
2014-14_31,B,B,True
2014-14_32,B,B,True
2014-14_33,B,D,False
2014-14_34,B,A,False
2014-14_35,B,D,False
2014-14_36,B,B,True
2014-14_37,B,D,False
2014-14_38,B,C,False
2014-14_39,B,D,False
2014-14_40,B,D,False
2014-14_41,B,A,False
2014-14_42,B,A,False
2014-14_43,B,D,False
2014-14_44,B,A,False
2014-14_45,B,C,False
2014-14_46,B,A,False
2014-14_47,B,C,False
2014-14_48,B,C,False
2014-14_49,B,B,True
2014-14_50,B,A,False
2014-14_51,B,B,True
2014-14_52,B,C,False
2014-14_53,B,B,True
2014-14_54,B,B,True
