id_pergunta,modelo_avaliado,nota_llama33,nota_llama31,nota_qwen3,nota_media,desvio_padrao
107,phi-3-mini,8.0,4.5,1.0,4.5,3.5
107,qwen2-1.5b,2.5,4.5,2.5,3.1666666666666665,1.1547005383792515
107,tinyllama-1.1b,2.3,2.5,2.0,2.2666666666666666,0.2516611478423583
108,phi-3-mini,8.5,4.5,2.5,5.166666666666667,3.055050463303893
108,qwen2-1.5b,6.5,3.5,2.5,4.166666666666667,2.0816659994661326
108,tinyllama-1.1b,0.0,0.0,1.0,0.3333333333333333,0.5773502691896258
109,phi-3-mini,8.0,3.5,2.5,4.666666666666667,2.9297326385411577
109,qwen2-1.5b,2.5,2.0,1.5,2.0,0.5
109,tinyllama-1.1b,2.3,2.5,2.0,2.2666666666666666,0.2516611478423583
110,phi-3-mini,8.5,4.5,4.0,5.666666666666667,2.466441431158124
110,qwen2-1.5b,2.5,3.5,2.5,2.8333333333333335,0.5773502691896258
110,tinyllama-1.1b,0.0,2.0,1.0,1.0,1.0
111,phi-3-mini,8.5,4.5,3.5,5.5,2.6457513110645907
111,qwen2-1.5b,2.3,2.5,2.5,2.433333333333333,0.11547005383792526
111,tinyllama-1.1b,7.5,2.5,2.5,4.166666666666667,2.8867513459481287
112,phi-3-mini,8.5,9.5,9.0,9.0,0.5
112,qwen2-1.5b,2.3,4.5,2.5,3.1,1.2165525060596438
112,tinyllama-1.1b,2.0,2.0,2.0,2.0,0.0
113,phi-3-mini,8.5,4.5,3.5,5.5,2.6457513110645907
113,qwen2-1.5b,8.5,4.5,3.5,5.5,2.6457513110645907
113,tinyllama-1.1b,7.5,3.5,2.5,4.5,2.6457513110645907
114,phi-3-mini,8.0,4.5,2.5,5.0,2.7838821814150108
114,qwen2-1.5b,8.5,4.8,4.0,5.766666666666667,2.400694344004112
114,tinyllama-1.1b,2.3,1.0,2.5,1.9333333333333333,0.8144527815247078
115,phi-3-mini,8.5,4.8,3.0,5.433333333333334,2.804163571073081
115,qwen2-1.5b,7.5,4.5,3.0,5.0,2.29128784747792
115,tinyllama-1.1b,2.3,2.5,1.5,2.1,0.529150262212918
116,phi-3-mini,8.5,4.5,2.5,5.166666666666667,3.055050463303893
116,qwen2-1.5b,2.5,4.5,3.5,3.5,1.0
116,tinyllama-1.1b,2.3,2.5,2.5,2.433333333333333,0.11547005383792526
117,phi-3-mini,7.5,4.5,3.0,5.0,2.29128784747792
117,qwen2-1.5b,2.3,4.5,2.5,3.1,1.2165525060596438
117,tinyllama-1.1b,2.0,0.5,1.0,1.1666666666666667,0.7637626158259734
118,phi-3-mini,8.5,4.5,4.25,5.75,2.384848003542364
118,qwen2-1.5b,2.5,2.5,2.0,2.3333333333333335,0.2886751345948129
118,tinyllama-1.1b,2.0,1.5,1.0,1.5,0.5
