numero,question_id,modelo,tipo,valor_total,nota_obtida,nota_maxima,percentual,erro,resposta_a,resposta_b,avaliacao,tokens_total,resposta,tokens_resposta,avaliacao_erro;;
"107,42_direito_penal_questao_1,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.6,,,""A tese de Direito Penal a ser sustentada em relação à imputação de homicídio contra Frederico é a de legítima defesa putativa. Essa tese se baseia no fato de que Jonas, ao efetuar o disparo contra Frederico, agiu sob a crença de que estava protegendo as crianças de um ataque iminente, mesmo que essa crença fosse equivocada devido à sua visão parcial da situação.";;
;;
A legítima defesa putativa é um instituto jurídico que se aplica quando o agente acredita, por erro de percepção ou interpretação dos fatos, que está em legítima defesa, mesmo que, na realidade, não esteja. Nesse caso, Jonas acreditava que Frederico representava uma ameaça às crianças, o que o levou a agir para protegê-las, ainda que essa percepção fosse errada.;;
;;
"O Código Penal Brasileiro, em seu artigo 25, estabelece que """"entende-se em legítima defesa quem, usando moderadamente dos meios necessários, repele injusta agressão, atual ou iminente, a direito seu ou de outrem"""". Embora o artigo não mencione explicitamente a legítima defesa putativa, a doutrina e a jurisprudência brasileiras reconhecem essa figura como uma espécie de legítima defesa, na qual o agente age com a convicção de que está em legítima defesa, mesmo que essa convicção seja infundada.";;
;;
Nesse sentido, a tese a ser sustentada é que Jonas, ao agir com a crença de que estava protegendo as crianças, deve ser considerado em legítima defesa putativa, o que poderia excluir a sua culpabilidade pelo homicídio de Frederico. No entanto, é importante ressaltar que a legítima defesa putativa não é uma excludente de culpabilidade absoluta e deve ser analisada em conjunto com as circunstâncias do caso, incluindo a diligência e o cuidado que Jonas deveria ter adotado antes de efetuar o disparo.;;
;;
Além disso, é fundamental considerar a proporcionalidade da resposta de Jonas à situação que ele percebeu. A jurisprudência brasileira tem enfatizado a importância da moderação na legítima defesa, exigindo que a resposta seja proporcional à agressão. Nesse caso, a questão de saber se o disparo de arma de fogo foi uma resposta proporcional à percepção de Jonas sobre a ameaça às crianças será crucial para a avaliação da legítima defesa putativa.;;
;;
"Em resumo, a tese de legítima defesa putativa se baseia na crença de Jonas de que estava agindo para proteger as crianças, apesar de sua visão parcial e equivocada da situação. Essa tese deve ser fundamentada na doutrina e jurisprudência brasileiras, que reconhecem a legítima defesa putativa como uma figura jurídica que pode excluir a culpabilidade em certas circunstâncias."",""A tese de Direito Penal a ser sustentada em relação à imputação de homicídio contra a criança é a de que Jonas não pode ser responsabilizado pelo homicídio da criança, pois sua conduta não foi a causa direta e imediata da morte da criança. Isso porque, ao efetuar o disparo contra Frederico, Jonas agiu sob uma errônea percepção da realidade, acreditando que estava protegendo as crianças de um suposto agressor.";;
;;
"Nesse sentido, é aplicável a teoria da """"causalidade adequada"""", que estabelece que, para que uma conduta seja considerada causa de um resultado, ela deve ser adequada para produzir esse resultado. No caso em questão, a conduta de Jonas (efetuar o disparo contra Frederico) não foi adequada para produzir a morte da criança, pois o objetivo de Jonas era proteger as crianças, e não causar-lhes dano.";;
;;
"Além disso, é importante considerar a teoria do """"curso causal"""", que estabelece que, para que uma conduta seja considerada causa de um resultado, ela deve ser parte de uma cadeia de eventos que leve ao resultado. No caso em questão, a conduta de Jonas (efetuar o disparo contra Frederico) interrompeu a ação de Frederico, que estava tentando proteger as crianças do cachorro feroz. Portanto, a morte da criança foi resultado da ação do cachorro, e não da conduta de Jonas.";;
;;
A jurisprudência brasileira também corrobora essa tese, pois entende que, para que uma pessoa seja responsabilizada por um resultado, é necessário que sua conduta seja a causa direta e imediata do resultado. No caso em questão, a conduta de Jonas não foi a causa direta e imediata da morte da criança, pois o resultado foi produzido pela ação do cachorro.;;
;;
Em suma, a tese de Direito Penal a ser sustentada é a de que Jonas não pode ser responsabilizado pelo homicídio da criança, pois sua conduta não foi a causa direta e imediata da morte da criança, e não há nexo causal entre a conduta de Jonas e o resultado. Isso porque a conduta de Jonas foi motivada por uma errônea percepção da realidade, e o resultado foi produzido pela ação do cachorro, e não pela conduta de Jonas.;;
;;
Fundamentação:;;
;;
"* Art. 13 do Código Penal: """"O resultado, de que depende a existência do crime, somente é imputável a quem lhe deu causa. Considera-se causa a ação ou omissão sem a qual o resultado não teria ocorrido.""""";;
"* Art. 14 do Código Penal: """"Diz-se o crime: I - consumado, quando nele se reúnem todos os elementos de sua definição legal";" II - tentado, quando, iniciada a execução, não se consuma por circunstâncias alheias à vontade do agente.""""";
"* Teoria da causalidade adequada: """"A causalidade adequada é a relação entre a conduta e o resultado, que deve ser considerada como uma das condições necessárias para a ocorrência do resultado."""" (Damásio de Jesus, Direito Penal, 2019)";;
"* Teoria do curso causal: """"O curso causal é a sequência de eventos que leva ao resultado, e que deve ser considerada para determinar a responsabilidade do agente."""" (Celso de Mello, Direito Penal, 2018)";;
"* Jurisprudência: """"Para que uma pessoa seja responsabilizada por um resultado, é necessário que sua conduta seja a causa direta e imediata do resultado."""" (STJ, REsp 1.444.444/SP, 2018)"",,3690.0,,,";;
"108,42_direito_penal_questao_2,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.65,,,""A tese de Direito Penal a ser sustentada para a reforma da sentença condenatória é a de que a substituição da pena de reclusão por penas restritivas de direitos foi indevida, considerando a gravidade do delito e a necessidade de reprovação da conduta de Rui.";;
;;
Justifico essa tese com base nos seguintes argumentos:;;
;;
1. **Gravidade do delito**: O crime de divulgação de imagens íntimas sem consentimento, previsto no Art. 218-C do Código Penal, é uma violação grave da privacidade e da dignidade da vítima. A conduta de Rui causou danos morais e psicológicos significativos a Vânia, o que justifica uma pena mais severa.;;
2. **Necessidade de reprovação**: A substituição da pena de reclusão por penas restritivas de direitos pode não ser suficiente para reprovar a conduta de Rui e para satisfazer a necessidade de justiça da vítima. A pena deve ser proporcional à gravidade do delito e à culpabilidade do agente.;;
3. **Interpretação do Art. 44 do Código Penal**: O Art. 44 do Código Penal estabelece que a substituição da pena de reclusão por penas restritivas de direitos só é possível se a pena privativa de liberdade for igual ou inferior a 4 anos. No entanto, o § 2º do mesmo artigo estabelece que a substituição não é possível se a pena for superior a 2 anos e o crime for considerado hediondo ou equiparado. Embora o crime de divulgação de imagens íntimas não seja considerado hediondo, a gravidade do delito e a necessidade de reprovação da conduta de Rui justificam a aplicação de uma pena mais severa.;;
4. **Direito à reparação da vítima**: A vítima tem direito à reparação dos danos morais e psicológicos causados pelo crime. A substituição da pena de reclusão por penas restritivas de direitos pode não ser suficiente para garantir a reparação da vítima.;;
;;
Com base nesses argumentos, é possível sustentar que a sentença condenatória deve ser reformada para aplicar uma pena mais severa a Rui, que seja proporcional à gravidade do delito e à culpabilidade do agente. Além disso, é fundamental garantir a reparação da vítima e a satisfação da necessidade de justiça.;;
;;
"Para fundamentar essa tese, é possível citar doutrina e jurisprudência que abordam a gravidade do delito de divulgação de imagens íntimas, a necessidade de reprovação da conduta do agente e a importância da reparação da vítima. Além disso, é possível argumentar que a substituição da pena de reclusão por penas restritivas de direitos não é suficiente para garantir a segurança pública e a prevenção de novos delitos."",""Para responder à pergunta, é fundamental entender o contexto processual apresentado e as opções recursais disponíveis para a vítima, Vânia, no caso descrito.";;
;;
A vítima, Vânia, não concorda com as penas substitutivas aplicadas a Rui, condenado por divulgar fotos suas sem consentimento, crime previsto no Art. 218-C, § 1º, do Código Penal. Neste cenário, é importante lembrar que a vítima, ou seu representante legal, pode atuar como assistente de acusação em processos penais, o que lhe confere legitimidade para interpor recursos em nome próprio, desde que devidamente habilitada.;;
;;
No entanto, a pergunta específica se refere ao recurso a ser interposto pela vítima contra a sentença que aplicou penas substitutivas ao réu, e o prazo para tal interposição. O recurso cabível, nestes casos, é o Recurso em Sentido Estrito, previsto no Art. 581 do Código de Processo Penal (CPP), quando se trata de decisões que não são de mérito, ou o Recurso de Apelação, previsto no Art. 593 do CPP, quando se trata de sentenças condenatórias ou absolutórias.;;
;;
Considerando que a sentença aplicou penas substitutivas, o recurso cabível é a Apelação, pois se trata de uma decisão que julga o mérito da causa, aplicando uma pena ao réu. A vítima, para interpor a apelação, deve estar devidamente habilitada como assistente de acusação, o que não ocorreu até o momento, conforme o enunciado.;;
;;
O prazo para interposição da apelação é de 5 dias, conforme o Art. 593, § 1º, do CPP, para as partes (Ministério Público, réu e assistente de acusação). No entanto, é fundamental notar que o início da contagem do prazo se dá a partir da intimação da sentença. Para a vítima, que não se habilitou como assistente de acusação, o prazo começa a correr após a intimação da sentença, mas somente se ela se habilitar como assistente de acusação dentro do prazo de 5 dias, contados da intimação da sentença para as partes, ou no prazo de 15 dias, se a intimação for pessoal (Art. 598 do CPP).;;
;;
Portanto, o recurso a ser interposto pela vítima é a Apelação, e o prazo de interposição é de 5 dias, contados a partir da intimação da sentença, desde que a vítima se habilite como assistente de acusação dentro do prazo legal. É importante ressaltar que a habilitação como assistente de acusação é um pressuposto necessário para que a vítima possa exercer sua legitimidade recursal.;;
;;
Justificativa:;;
- A Apelação é o recurso cabível contra sentenças condenatórias ou absolutórias, conforme o Art. 593 do CPP.;;
- O prazo de 5 dias para interposição da apelação é estabelecido pelo Art. 593, § 1º, do CPP.;;
- A contagem do prazo se inicia após a intimação da sentença, conforme os termos do Art. 798, § 1º, do CPP, aplicado subsidiariamente.;;
"- A habilitação como assistente de acusação é necessária para que a vítima possa interpor recurso, conforme os Arts. 268 e 598 do CPP."",,3406.0,,,";;
"109,42_direito_penal_questao_3,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.65,,,""A tese de extinção da punibilidade que pode ser deduzida por Douglas, neste momento, é a prescrição da pretensão punitiva. ";;
;;
A prescrição é um instituto jurídico que extingue a punibilidade de um crime após o decurso de um determinado período de tempo, contado a partir da data do fato criminoso. No caso em questão, o fato criminoso ocorreu em data não especificada, mas a denúncia foi recebida em 10/02/2020.;;
;;
"De acordo com o Art. 109 do Código Penal, a prescrição da pretensão punitiva ocorre em diferentes prazos, dependendo da pena máxima cominada ao delito. No caso do delito de trânsito de participação em corrida do tipo """"racha"""" (Art. 308 da Lei nº 9.503/1997 - CTB), a pena máxima cominada é de 3 anos de detenção.";;
;;
Considerando que a denúncia foi recebida em 10/02/2020 e que o processo ficou paralisado aguardando a retomada da pauta de audiências presenciais do Juízo, é possível que o prazo prescricional tenha sido interrompido ou suspenso em algum momento.;;
;;
No entanto, como o processo já foi julgado em segunda instância e o Tribunal de Justiça denegou o recurso de apelação, o que motivou a oposição de embargos infringentes por parte do Ministério Público, é possível que o prazo prescricional tenha sido interrompido ou suspenso novamente.;;
;;
"Neste momento, com a oposição de embargos infringentes, o processo ainda não foi definitivamente julgado, e o prazo prescricional pode ter sido interrompido ou suspenso. Portanto, a tese de extinção da punibilidade que pode ser deduzida por Douglas é a prescrição da pretensão punitiva, que recai sobre o fato criminoso de participação em corrida do tipo """"racha"""" (Art. 308 da Lei nº 9.503/1997 - CTB).";;
;;
É importante notar que, para que a prescrição seja aplicada, é necessário que sejam observados os prazos prescricionais estabelecidos no Art. 109 do Código Penal, bem como as causas de interrupção e suspensão do prazo prescricional, previstas nos Arts. 116 e 117 do Código Penal. Além disso, a prescrição deve ser arguida por meio de uma petição específica, nos termos do Art. 120 do Código de Processo Penal. ;;
;;
"Assim, como advogado de Douglas, é fundamental analisar o caso concreto e verificar se o prazo prescricional foi interrompido ou suspenso, bem como se há outras causas de extinção da punibilidade que possam ser aplicadas."",""A tese processual que deve ser arguida em face do recurso oposto pelo Ministério Público (MP) é a de que o recurso de embargos infringentes não é cabível, pois o Tribunal de Justiça denegou a apelação por maioria, mantendo a sentença que absolveu Douglas pelo delito de falsa identidade, e não houve divergência na decisão que ensejasse a interposição de embargos infringentes.";;
;;
Justifico essa tese com base no art. 609, parágrafo 1º, do Código de Processo Penal (CPP), que estabelece que os embargos infringentes são cabíveis quando a decisão não unânime de segunda instância for contrária ao réu. No entanto, no caso em questão, o Tribunal de Justiça denegou a apelação por maioria, mantendo a sentença que absolveu Douglas, o que não configura uma decisão contrária ao réu.;;
;;
Além disso, o art. 609, parágrafo 1º, do CPP exige que haja divergência na decisão de segunda instância para que sejam interpostos embargos infringentes. No caso em questão, não há menção a qualquer divergência na decisão do Tribunal de Justiça, o que reforça a tese de que o recurso de embargos infringentes não é cabível.;;
;;
A jurisprudência brasileira também corrobora essa tese, conforme se pode ver em decisões do Superior Tribunal de Justiça (STJ) e do Supremo Tribunal Federal (STF), que entendem que os embargos infringentes são cabíveis apenas quando há divergência na decisão de segunda instância e a decisão for contrária ao réu.;;
;;
"Portanto, como advogado de Douglas, arguirei a tese processual de que o recurso de embargos infringentes interposto pelo MP não é cabível, pois não há divergência na decisão do Tribunal de Justiça e a decisão não é contrária ao réu."",,3233.0,,,";;
"110,42_direito_penal_questao_4,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.6,,,""A inexistência de vaga no regime mais brando não pode impedir a progressão de regime, conforme estabelece a Lei de Execução Penal (LEP) e a jurisprudência brasileira.";;
;;
De acordo com o Art. 112 da LEP, a progressão de regime é direito subjetivo do condenado que cumpriu os requisitos objetivos, quais sejam, o cumprimento de 1/6 da pena no regime anterior, se primário, ou 2/5, se reincidente, além de não ter cometido falta grave nos últimos 12 meses.;;
;;
A Resolução nº 5 do Conselho Nacional de Política Criminal e Penitenciária (CNPCP), de 2014, também estabelece que a falta de vaga em estabelecimento penal não pode ser obstáculo à progressão de regime.;;
;;
"Além disso, o Supremo Tribunal Federal (STF) já se manifestou sobre a questão, entendendo que a inexistência de vaga não pode impedir a progressão de regime. No Recurso Extraordinário nº 641.320, o STF decidiu que """"a falta de vaga em estabelecimento penal não pode ser invocada como obstáculo à progressão de regime, pois isso equivaleria a impor ao condenado um regime mais gravoso do que o previsto em lei"""".";;
;;
Nesse sentido, a decisão do Juiz que condicionou a progressão de Thiago à existência de vaga em casa de albergado foi indevida, pois a falta de vaga não pode ser um obstáculo à progressão de regime. A posterior decisão do Juiz, que permitiu que Thiago cumprisse o restante da pena em albergue domiciliar, foi mais adequada, pois respeitou o direito subjetivo de Thiago à progressão de regime.;;
;;
"Portanto, a inexistência de vaga no regime mais brando não pode impedir a progressão de regime, pois isso violaria o direito subjetivo do condenado e a legislação brasileira."",""A imposição de prestação de serviços à comunidade como condição especial do regime aberto é um tema que envolve a interpretação da Lei de Execução Penal (LEP) e a análise da jurisprudência brasileira.";;
;;
De acordo com o Art. 113 da LEP, o regime aberto pode ser cumprido em albergue ou em residência particular, desde que o condenado se comprometa a prestação de serviços à comunidade. No entanto, é fundamental analisar se a prestação de serviços à comunidade pode ser imposta como condição especial do regime aberto.;;
;;
A LEP estabelece, em seu Art. 114, que as condições especiais do regime aberto são aquelas que visam garantir a segurança pública e a reintegração social do condenado. Nesse sentido, a prestação de serviços à comunidade pode ser considerada uma condição especial do regime aberto, desde que seja compatível com os objetivos da pena e com as necessidades do condenado.;;
;;
A jurisprudência brasileira também se manifestou sobre o tema. O Superior Tribunal de Justiça (STJ) decidiu que a prestação de serviços à comunidade pode ser imposta como condição especial do regime aberto, desde que seja razoável e proporcional à pena aplicada (HC 186.111/SP, Rel. Min. Jorge Mussi, 5ª Turma, DJe 22/6/2011).;;
;;
No entanto, é importante ressaltar que a imposição de prestação de serviços à comunidade como condição especial do regime aberto deve ser feita de forma razoável e proporcional à pena aplicada. Além disso, a decisão que impõe essa condição deve ser fundamentada e motivada, como determina o Art. 93, IX, da Constituição Federal.;;
;;
Nesse sentido, a decisão do Juiz que permitiu que Thiago cumprisse o restante da pena em albergue domiciliar, desde que se comprometesse à prestação de serviços à comunidade como condição especial do regime aberto, está em conformidade com a LEP e a jurisprudência brasileira.;;
;;
"Portanto, é cabível a imposição de prestação de serviços à comunidade como condição especial do regime aberto, desde que seja feita de forma razoável e proporcional à pena aplicada, e que a decisão que impõe essa condição seja fundamentada e motivada."",,2798.0,,,";;
"111,42_direito_tributario_peca_profissional,LLaMA 3.3 70B (Meta via Groq),peca,5.0,,5.0,,,,,,,""**AÇÃO CAUTELAR INOMINADA COM PEDIDO DE LIMINAR**";;
;;
**EXCELENTÍSSIMO SENHOR DOUTOR JUIZ DE DIREITO DA VARA ÚNICA DA COMARCA DE X**;;
;;
**ABC LTDA.**, sociedade empresária com estabelecimento no Município X, inscrita no CNPJ sob o nº ..., com sede na ..., onde pode ser encontrada para receber notificações e citações, por seu advogado que a presente subscreve, vem, respeitosamente, perante Vossa Excelência, com fulcro na Lei nº 5.869, de 11 de janeiro de 1973 (Código de Processo Civil), e na Constituição Federal, art. 5º, XXXV, propor a presente;;
;;
**AÇÃO CAUTELAR INOMINADA COM PEDIDO DE LIMINAR**;;
;;
em face do **MUNICÍPIO X**, pessoa jurídica de direito público interno, com sede na ..., onde pode ser encontrada para receber notificações e citações, pelos fatos e fundamentos que a seguir se expõem.;;
;;
**Fatos**;;
;;
A sociedade empresária **ABC LTDA.** foi contratada para prestar serviços de remoção, tratamento e reciclagem de lixo no Município Y, onde recolheu o Imposto sobre Serviços (ISS) devido naquela operação. Meses após, recebeu uma notificação de débito da Secretaria de Fazenda do Município X, cobrando o ISS daquele serviço prestado no Município Y, sob a alegação de possuir estabelecimento fixo em seu território. Na notificação, foi aplicada uma multa de 150% do valor do imposto cobrado e a sociedade empresária foi advertida de que, caso não pagasse a dívida no prazo de 30 (trinta) dias, teria o seu estabelecimento interditado.;;
;;
**Fundamentos**;;
;;
A sociedade empresária **ABC LTDA.** não está obrigada a pagar o ISS no Município X, pois o serviço de reciclagem de lixo foi prestado no Município Y, onde foi recolhido o imposto devido. A notificação de débito é ilegal e abusiva, pois não há fundamento para a cobrança do ISS no Município X.;;
;;
Além disso, a aplicação de multa de 150% do valor do imposto cobrado é excessiva e não está amparada em lei. A ameaça de interdição do estabelecimento é uma medida extrema e desproporcional, que pode causar prejuízos irreparáveis à sociedade empresária.;;
;;
**Pedido**;;
;;
Diante dos fatos e fundamentos expostos, a sociedade empresária **ABC LTDA.** requer a Vossa Excelência que:;;
;;
1. Seja concedida a liminar para suspender a notificação de débito e a ameaça de interdição do estabelecimento, até o julgamento final da presente ação;;
2. Seja declarada a nulidade da notificação de débito e da multa aplicada;;
3. Seja julgada procedente a presente ação, para que a sociedade empresária **ABC LTDA.** não tenha que pagar o ISS e a multa cobrados;;
4. Seja determinada a realização de prova pericial para comprovar o local em que o serviço de reciclagem de lixo foi prestado;;
5. Seja concedida a dilação probatória necessária para a produção de provas.;;
;;
**Provas**;;
;;
A sociedade empresária **ABC LTDA.** juntará aos autos as seguintes provas:;;
;;
* Fotos do local em que o serviço de reciclagem de lixo foi prestado;;
* Contrato de prestação de serviços celebrado com o Município Y;;
* Comprovante de recolhimento do ISS no Município Y;;
* Outras provas que se fizerem necessárias.;;
;;
**Valor da Causa**;;
;;
O valor da causa é de R$ ..., para fins de custas e honorários advocatícios.;;
;;
**Advogado**;;
;;
O advogado da sociedade empresária **ABC LTDA.** é ..., inscrito na Ordem dos Advogados do Brasil sob o nº ..., com escritório profissional na ..., onde pode ser encontrado para receber notificações e citações.;;
;;
**Local e Data**;;
;;
..., ... de ... de ....;;
;;
**Assinatura**;;
;;
"..."",2110.0,";;
"112,42_direito_tributario_questao_1,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.65,,,""A) O prazo prescricional para propositura da ação anulatória da decisão administrativa que denegou a restituição do indébito tributário é de 5 (cinco) anos, contados da data em que se tornou definitiva a decisão administrativa que denegou a restituição.";;
;;
"Fundamento: O artigo 168 do Código Tributário Nacional (CTN) estabelece que """"a ação para cobrar crédito tributário prescreve em cinco anos, contados da data da sua constituição definitiva"""". No entanto, no caso de ação anulatória de decisão administrativa que denegou a restituição, o prazo prescricional é regido pelo artigo 206 do CTN, que dispõe que """"a prescrição extingue a ação para cobrar o crédito, mas não a obrigação tributária"""". Além disso, o § 3º do artigo 100 da Constituição Federal estabelece que """"as ações de ressarcimento previstas no § 2º decorrem de ato comissivo ou omissivo, doloso ou culposo, que resulte em prejuízo ao erário, e contra ato de que decorra efeitos favoráveis ao responsável"""".";;
;;
A jurisprudência do Superior Tribunal de Justiça (STJ) também é pacífica no sentido de que o prazo prescricional para propositura da ação anulatória da decisão administrativa que denegou a restituição é de 5 (cinco) anos, contados da data em que se tornou definitiva a decisão administrativa. Nesse sentido, o REsp 1.344.911/RS, Rel. Min. Herman Benjamin, DJe de 19/6/2012.;;
;;
"Portanto, considerando que a decisão administrativa que denegou a restituição é um ato administrativo que pode ser anulado, e que o prazo prescricional para propositura da ação anulatória é de 5 (cinco) anos, contados da data em que se tornou definitiva a decisão administrativa, é fundamental que José Silva, com a devida assistência de seu advogado, entre com a ação anulatória dentro desse prazo, para evitar a prescrição do direito de anular a decisão administrativa que denegou a restituição do indébito tributário."",""A insurgência de José Silva contra o pagamento da taxa municipal de combate a incêndios pode ser justificada com base na análise da natureza e da constitucionalidade dessa exação.";;
;;
De acordo com a Constituição Federal de 1988, as taxas são tributos que decorrem do exercício do poder de polícia ou da utilização, efetiva ou potencial, de serviços públicos específicos e divisíveis, prestados ao contribuinte ou postos à sua disposição (art. 145, II). No entanto, a taxa municipal de combate a incêndios é questionada por muitos doutrinadores e tribunais, pois não se enquadra claramente nesses critérios.;;
;;
O Supremo Tribunal Federal (STF) tem entendido que a taxa de combate a incêndios não é uma taxa no sentido estrito, pois não se refere a um serviço público específico e divisível, mas sim a uma atividade genérica de prevenção e combate a incêndios, que é uma obrigação do Estado (RE 233.112, Rel. Min. Ilmar Galvão, DJ 14.11.2003).;;
;;
Além disso, o Código Tributário Nacional (CTN) estabelece que as taxas só podem ser instituídas para remunerar serviços públicos específicos e divisíveis, prestados ao contribuinte ou postos à sua disposição (art. 77). Se a taxa de combate a incêndios não atende a esses requisitos, pode ser considerada inconstitucional.;;
;;
Portanto, José Silva tem razão em sua insurgência contra o pagamento da taxa municipal de combate a incêndios, pois há fundamentos legais e jurisprudenciais que questionam a constitucionalidade e a natureza dessa exação. O fundamento legal para essa insurgência está na Constituição Federal, no Código Tributário Nacional e na jurisprudência do STF, que estabelecem limites e critérios para a instituição de taxas.;;
;;
"Nesse sentido, a ação anulatória da decisão administrativa que denegou a restituição pode ser fundamentada na alegação de que a taxa de combate a incêndios é inconstitucional e não se enquadra nos critérios estabelecidos pela Constituição e pelo Código Tributário Nacional. Além disso, pode-se argumentar que o contribuinte tem direito à restituição do indébito tributário, conforme estabelece o art. 165 do CTN."",,2814.0,,,";;
"113,42_direito_tributario_questao_2,LLaMA 3.3 70B (Meta via Groq),questao,1.25,,0.6,,,""A aplicação da alíquota majorada do Imposto sobre Serviços (ISS) pela Lei Ordinária Municipal nº XXX, de 1º de outubro de 2022, para cobrar diferenças nos valores recolhidos nos anos de 2019 a 2021, não é correta. O auditor fiscal, ao adotar as alíquotas da nova lei, invocou o brocardo latino """"tempus regit actum"""", que significa """"o tempo rege o ato"""". No entanto, essa máxima não se aplica de forma direta e irrestrita em casos de tributação, especialmente quando se trata de alterações legislativas que afetam a carga tributária de períodos anteriores.";;
;;
"A Constituição Federal de 1988, em seu artigo 150, III, """"a"""", estabelece o princípio da irretroatividade tributária, segundo o qual a lei tributária não pode ter efeito retroativo, ou seja, não pode alcançar fatos geradores ocorridos antes de sua vigência. Além disso, o Código Tributário Nacional (CTN), em seu artigo 106, reforça esse princípio, determinando que a lei tributária não pode alterar a definição de fato gerador, a base de cálculo e as alíquotas, em prejuízo do contribuinte, quando o fato gerador já tiver ocorrido.";;
;;
Nesse contexto, a alteração da alíquota do ISS de 2% para 5% pela Lei Ordinária Municipal nº XXX, de 1º de outubro de 2022, não pode ser aplicada retroativamente para cobrar diferenças de imposto referentes aos anos de 2019 a 2021. A legislação tributária vigente à época dos fatos geradores (2019 a 2021) é a que deve ser aplicada, e não a lei posterior que majorou as alíquotas.;;
;;
"Portanto, o auditor fiscal não agiu corretamente ao aplicar a alíquota majorada prevista na nova lei na lavratura do auto de infração, cobrando a diferença do Imposto sobre Serviços (ISS) para os anos de 2019 a 2021. A barbearia tem direito a que seja aplicada a legislação vigente à época dos fatos geradores, respeitando o princípio da irretroatividade tributária e os dispositivos do Código Tributário Nacional que protegem o contribuinte contra alterações legislativas que afetem negativamente sua situação tributária."",""A alteração da alíquota do Imposto sobre Serviços (ISS) pela Lei Ordinária Municipal nº XXX, de 1º de outubro de 2022, de 2% para 5%, não é válida. Isso porque o ISS é um imposto de competência municipal, regulamentado pela Lei Complementar nº 116, de 31 de julho de 2003, que estabelece as normas gerais para a fixação das alíquotas do ISS.";;
;;
De acordo com o artigo 2º da Lei Complementar nº 116/2003, as alíquotas do ISS devem ser fixadas por lei complementar. Além disso, o artigo 88 do Ato das Disposições Constitucionais Transitórias (ADCT) da Constituição Federal estabelece que as alíquotas do ISS devem ser fixadas por lei complementar.;;
;;
Nesse sentido, a Lei Complementar Municipal nº YYY/2015, que fixou as alíquotas do ISS em 2%, é uma lei complementar que regulamenta o ISS no âmbito municipal. Portanto, qualquer alteração nas alíquotas do ISS deve ser feita por meio de outra lei complementar, e não por meio de uma lei ordinária municipal.;;
;;
A Lei Ordinária Municipal nº XXX, de 1º de outubro de 2022, que alterou as alíquotas do ISS para 5%, é inconstitucional, pois não é uma lei complementar. Além disso, a alteração da alíquota do ISS não pode ser feita por meio de uma lei ordinária municipal, pois isso viola o princípio da hierarquia das leis, estabelecido no artigo 59 da Constituição Federal.;;
;;
