id,llama_answer,gemini_answer,answerKey
2014-13_12,A,ERRO,D
2014-13_13,A,ERRO,D
2014-13_14,A,ERRO,B
2014-13_15,A,ERRO,A
2014-13_16,A,ERRO,D
2014-13_17,A,ERRO,C
2014-13_18,A,ERRO,B
2014-13_19,A,ERRO,D
2014-13_20,A,ERRO,D
2014-13_21,A,ERRO,C
2014-13_22,A,ERRO,C
2014-13_23,A,ERRO,A
2014-13_24,A,ERRO,C
2014-13_25,A,ERRO,A
2014-13_26,A,ERRO,C
2014-13_27,A,ERRO,D
2014-13_28,A,ERRO,A
2014-13_29,A,ERRO,C
2014-13_30,A,ERRO,A
2014-13_31,A,ERRO,C
2014-13_32,A,ERRO,A
2014-13_33,A,ERRO,C
2014-13_34,A,ERRO,B
2014-13_35,A,ERRO,D
2014-13_36,A,ERRO,C
2014-13_37,A,ERRO,A
2014-13_38,A,ERRO,A
2014-13_39,A,ERRO,D
2014-13_40,A,ERRO,A
2014-13_41,A,ERRO,D
2014-13_42,A,ERRO,A
2014-13_43,A,ERRO,D
2014-13_44,A,ERRO,C
2014-13_45,A,ERRO,D
2014-13_46,A,ERRO,A
2014-13_47,A,ERRO,D
2014-13_48,A,ERRO,B
2014-13_49,A,ERRO,D
2014-13_50,A,ERRO,D
2014-13_51,A,ERRO,B
2014-13_52,A,ERRO,A
2014-13_53,A,ERRO,D
2014-13_54,A,ERRO,A
2014-13_55,A,ERRO,D
2014-13_56,A,ERRO,D
2014-13_57,A,ERRO,C
2014-13_58,A,ERRO,A
2014-13_59,A,ERRO,C
2014-13_60,A,ERRO,C
2014-13_61,A,ERRO,D
2014-13_62,A,ERRO,D
2014-13_63,A,ERRO,B
2014-13_64,A,ERRO,D
2014-13_65,A,ERRO,A
2014-13_66,A,ERRO,B
2014-13_67,A,ERRO,B
2014-13_68,A,ERRO,D
2014-13_69,A,ERRO,B
2014-13_70,A,ERRO,D
2014-13_71,A,ERRO,B
2014-13_72,A,ERRO,A
2014-13_73,A,ERRO,C
2014-13_74,A,ERRO,D
2014-13_75,A,ERRO,A
2014-13_76,A,ERRO,B
2014-13_77,A,ERRO,B
2014-13_78,A,ERRO,C
2014-13_79,A,ERRO,A
2014-13_80,A,ERRO,B
2014-14_1,A,ERRO,B
2014-14_2,A,ERRO,B
2014-14_3,A,ERRO,A
2014-14_4,A,ERRO,D
2014-14_5,A,ERRO,A
2014-14_6,A,ERRO,B
2014-14_7,A,ERRO,D
2014-14_8,A,ERRO,D
2014-14_9,A,ERRO,D
2014-14_10,A,ERRO,C
2014-14_11,A,ERRO,B
2014-14_12,A,ERRO,A
2014-14_13,A,ERRO,B
2014-14_14,A,ERRO,A
2014-14_15,A,ERRO,B
2014-14_16,A,ERRO,B
2014-14_17,A,ERRO,D
2014-14_18,A,ERRO,C
2014-14_19,A,ERRO,A
2014-14_20,A,ERRO,B
2014-14_21,A,ERRO,D
2014-14_22,A,ERRO,C
2014-14_23,A,ERRO,A
2014-14_24,A,ERRO,B
2014-14_25,A,ERRO,C
2014-14_26,A,ERRO,C
2014-14_27,A,ERRO,A
2014-14_28,A,ERRO,B
2014-14_29,A,ERRO,D
2014-14_30,A,ERRO,B
2014-14_31,A,ERRO,B
2014-14_32,A,ERRO,B
2014-14_33,A,ERRO,D
2014-14_34,A,ERRO,A
2014-14_35,A,ERRO,D
2014-14_36,A,ERRO,B
2014-14_37,A,ERRO,D
2014-14_38,A,ERRO,C
2014-14_39,A,ERRO,D
2014-14_40,A,ERRO,D
2014-14_41,A,ERRO,A
2014-14_42,A,ERRO,A
2014-14_43,A,ERRO,D
2014-14_44,A,ERRO,A
2014-14_45,A,ERRO,C
2014-14_46,A,ERRO,A
2014-14_47,A,ERRO,C
2014-14_48,A,ERRO,C
2014-14_49,A,ERRO,B
2014-14_50,A,ERRO,A
2014-14_51,A,ERRO,B
2014-14_52,A,ERRO,C
2014-14_53,A,ERRO,B
2014-14_54,A,ERRO,B
